,postal_code,city
0,356080,충남 서산시 갈산동 
1,356764,충남 서산시 갈산동 
2,356811,충남 서산시 고북면 가구리
3,356812,충남 서산시 고북면 기포리
4,356812,충남 서산시 고북면 남정리
5,356813,충남 서산시 고북면 봉생리
6,356813,충남 서산시 고북면 사기리
7,356812,충남 서산시 고북면 신상리
8,356815,충남 서산시 고북면 신송리
9,356814,충남 서산시 고북면 신정리
10,356815,충남 서산시 고북면 양천리
11,356811,충남 서산시 고북면 용암리
12,356815,충남 서산시 고북면 장요리
13,356813,충남 서산시 고북면 정자리
14,356811,충남 서산시 고북면 초록리
15,356762,충남 서산시 고북면 
16,356810,충남 서산시 고북면 
17,356871,충남 서산시 대산읍 기은리
18,356761,충남 서산시 대산읍 기은리
19,356872,충남 서산시 대산읍 대로리
20,356767,충남 서산시 대산읍 대로리
21,356873,충남 서산시 대산읍 대산리
22,356874,충남 서산시 대산읍 대죽리
23,356712,충남 서산시 대산읍 대죽리
24,356715,충남 서산시 대산읍 대죽리
25,356714,충남 서산시 대산읍 독곶리
26,356874,충남 서산시 대산읍 독곶리
27,356875,충남 서산시 대산읍 영탑리
28,356871,충남 서산시 대산읍 오지리
29,356876,충남 서산시 대산읍 운산리
30,356877,충남 서산시 대산읍 웅도리
31,356872,충남 서산시 대산읍 화곡리
32,356870,충남 서산시 대산읍 
33,356713,충남 서산시 대산읍 
34,356711,충남 서산시 대산읍 
35,356140,충남 서산시 덕지천동 
36,356010,충남 서산시 동문동 
37,356010,충남 서산시 동문동 
38,356010,충남 서산시 동문동 
39,356010,충남 서산시 동문동 
40,356702,충남 서산시 동문동 
41,356751,충남 서산시 동문동 
42,356753,충남 서산시 동문동 
43,356801,충남 서산시 동문동 
44,356804,충남 서산시 동문동 
45,356803,충남 서산시 동문동 
46,356802,충남 서산시 동문동 
47,356800,충남 서산시 동문동 
48,356752,충남 서산시 동문동 
49,356768,충남 서산시 동문동 
50,356769,충남 서산시 동문동 
51,356776,충남 서산시 동문동 
52,356891,충남 서산시 부석면 가사리
53,356892,충남 서산시 부석면 간월도리
54,356893,충남 서산시 부석면 갈마리
55,356894,충남 서산시 부석면 강당리
56,356891,충남 서산시 부석면 강수리
57,356895,충남 서산시 부석면 대두리
58,356892,충남 서산시 부석면 마룡리
59,356895,충남 서산시 부석면 봉락리
60,356893,충남 서산시 부석면 송시리
61,356893,충남 서산시 부석면 월계리
62,356894,충남 서산시 부석면 지산리
63,356892,충남 서산시 부석면 창리
64,356895,충남 서산시 부석면 취평리
65,356892,충남 서산시 부석면 칠전리
66,356890,충남 서산시 부석면 
67,356110,충남 서산시 석남동 
68,356765,충남 서산시 석남동 
69,356754,충남 서산시 석남동 
70,356030,충남 서산시 석림동 
71,356755,충남 서산시 석림동 
72,356775,충남 서산시 석림동 
73,356777,충남 서산시 석림동 
74,356816,충남 서산시 석림동 
75,356817,충남 서산시 석림동 
76,356819,충남 서산시 석림동 
77,356818,충남 서산시 석림동 
78,356851,충남 서산시 성연면 갈현리
79,356852,충남 서산시 성연면 고남리
80,356853,충남 서산시 성연면 명천리
81,356853,충남 서산시 성연면 예덕리
82,356851,충남 서산시 성연면 오사리
83,356851,충남 서산시 성연면 왕정리
84,356852,충남 서산시 성연면 일람리
85,356851,충남 서산시 성연면 평리
86,356853,충남 서산시 성연면 해성리
87,356850,충남 서산시 성연면 
88,356705,충남 서산시 성연면 
89,356050,충남 서산시 수석동 
90,356756,충남 서산시 수석동 
91,356100,충남 서산시 양대동 
92,356070,충남 서산시 예천동 
93,356707,충남 서산시 예천동 
94,356701,충남 서산시 예천동 
95,356807,충남 서산시 예천동 
96,356808,충남 서산시 예천동 
97,356770,충남 서산시 예천동 
98,356771,충남 서산시 예천동 
99,356120,충남 서산시 오남동 
100,356060,충남 서산시 온석동 
101,356831,충남 서산시 운산면 가좌리
102,356832,충남 서산시 운산면 갈산리
103,356833,충남 서산시 운산면 거성리
104,356834,충남 서산시 운산면 고산리
105,356835,충남 서산시 운산면 고풍리
106,356831,충남 서산시 운산면 상성리
107,356831,충남 서산시 운산면 소중리
108,356834,충남 서산시 운산면 수당리
109,356834,충남 서산시 운산면 수평리
110,356833,충남 서산시 운산면 신창리
111,356834,충남 서산시 운산면 안호리
112,356834,충남 서산시 운산면 여미리
113,356835,충남 서산시 운산면 와우리
114,356832,충남 서산시 운산면 용장리
115,356833,충남 서산시 운산면 용현리
116,356831,충남 서산시 운산면 원벌리
117,356835,충남 서산시 운산면 원평리
118,356833,충남 서산시 운산면 태봉리
119,356834,충남 서산시 운산면 팔중리
120,356830,충남 서산시 운산면 
121,356841,충남 서산시 음암면 도당1리
122,356841,충남 서산시 음암면 도당2리
123,356841,충남 서산시 음암면 도당3리
124,356842,충남 서산시 음암면 도당4리
125,356842,충남 서산시 음암면 도당5리
126,356842,충남 서산시 음암면 도당6리
127,356842,충남 서산시 음암면 도당7리
128,356841,충남 서산시 음암면 도당리
129,356843,충남 서산시 음암면 문양리
130,356843,충남 서산시 음암면 부산리
131,356842,충남 서산시 음암면 부장리
132,356774,충남 서산시 음암면 부장리
133,356842,충남 서산시 음암면 상홍리
134,356844,충남 서산시 음암면 성암리
135,356844,충남 서산시 음암면 신장리
136,356844,충남 서산시 음암면 유계리
137,356843,충남 서산시 음암면 율목리
138,356841,충남 서산시 음암면 탑곡리
139,356840,충남 서산시 음암면 
140,356766,충남 서산시 음암면 
141,356020,충남 서산시 읍내동 
142,356805,충남 서산시 읍내동 
143,356806,충남 서산시 읍내동 
144,356763,충남 서산시 읍내동 
145,356759,충남 서산시 읍내동 
146,356703,충남 서산시 읍내동 
147,356704,충남 서산시 읍내동 
148,356758,충남 서산시 읍내동 
149,356757,충남 서산시 읍내동 
150,356773,충남 서산시 읍내동 
151,356836,충남 서산시 읍내동 
152,356837,충남 서산시 읍내동 
153,356881,충남 서산시 인지면 남정리
154,356881,충남 서산시 인지면 둔당리
155,356882,충남 서산시 인지면 모월리
156,356882,충남 서산시 인지면 산동리
157,356883,충남 서산시 인지면 성리
158,356882,충남 서산시 인지면 애정리
159,356881,충남 서산시 인지면 야당리
160,356883,충남 서산시 인지면 차리
161,356883,충남 서산시 인지면 풍전리
162,356883,충남 서산시 인지면 화수리
163,356880,충남 서산시 인지면 
164,356040,충남 서산시 잠홍동 
165,356130,충남 서산시 장동 
166,356090,충남 서산시 죽성동 
167,356760,충남 서산시 죽성동 
168,356861,충남 서산시 지곡면 대요리
169,356862,충남 서산시 지곡면 도성리
170,356878,충남 서산시 지곡면 도성리
171,356878,충남 서산시 지곡면 도성리
172,356878,충남 서산시 지곡면 도성리
173,356878,충남 서산시 지곡면 도성리
174,356772,충남 서산시 지곡면 무장리
175,356863,충남 서산시 지곡면 무장리
176,356862,충남 서산시 지곡면 산성리
177,356863,충남 서산시 지곡면 연화리
178,356863,충남 서산시 지곡면 장현리
179,356862,충남 서산시 지곡면 중왕리
180,356863,충남 서산시 지곡면 화천리
181,356861,충남 서산시 지곡면 환성리
182,356860,충남 서산시 지곡면 
183,356981,충남 서산시 팔봉면 고파도리
184,356982,충남 서산시 팔봉면 금학리
185,356982,충남 서산시 팔봉면 대황리
186,356983,충남 서산시 팔봉면 덕송리
187,356983,충남 서산시 팔봉면 양길리
188,356984,충남 서산시 팔봉면 어송리
189,356984,충남 서산시 팔봉면 진장리
190,356983,충남 서산시 팔봉면 호리
191,356982,충남 서산시 팔봉면 흑석리
192,356980,충남 서산시 팔봉면 
193,356821,충남 서산시 해미면 관유리
194,356822,충남 서산시 해미면 귀밀리
195,356823,충남 서산시 해미면 기지리
196,356824,충남 서산시 해미면 대곡리
197,356821,충남 서산시 해미면 동암리
198,356822,충남 서산시 해미면 반양리
199,356824,충남 서산시 해미면 산수리
200,356821,충남 서산시 해미면 삼송리
201,356825,충남 서산시 해미면 석포리
202,356828,충남 서산시 해미면 석포리
203,356823,충남 서산시 해미면 양림리
204,356822,충남 서산시 해미면 억대리
205,356821,충남 서산시 해미면 오학리
206,356822,충남 서산시 해미면 웅소성리
207,356826,충남 서산시 해미면 읍내리
208,356823,충남 서산시 해미면 응평리
209,356823,충남 서산시 해미면 저성리
210,356822,충남 서산시 해미면 전천리
211,356823,충남 서산시 해미면 조산리
212,356821,충남 서산시 해미면 홍천리
213,356824,충남 서산시 해미면 황락리
214,356824,충남 서산시 해미면 휴암리
215,356706,충남 서산시 해미면 
216,356820,충남 서산시 해미면 
217,356600,충남 서산시  
218,356601,충남 서산시  
